0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-113.619385,121.55302,-19.151058,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283618,10.973776,-8.32241,8.8067875,-3.6658018,5.745939,-5.161711,0.75029784,-1.688358,-0.40932855,-2.2988691,1.2199471,-3.538389,-1.1400294,-4.289415,-4.232804,0.9163247,0.9165485,-5.763323,-3.930225,1.5080732,2.695646,5.6516275,-3.2703445,-0.20387089,-2.999194,4.4795647,-0.47173458,6.0087132,-0.05899948,-3.4628537,-1.8414087,blues
-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.2378328,4.2171254,-6.0110474,0.9326681,-0.7170279,0.2923333,-0.28571686,0.53214437,-4.090439,-1.2404466,-2.842691,-4.355886,3.2582963,1.2023576,-0.033780195,-0.059278883,3.9833682,-0.4506288,0.8427731,-3.7514126,-4.099237,-2.455875,5.8402605,3.5573013,4.8964677,-0.4134135,-1.999016,-0.46941265,blues
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741682,-13.644712,11.623112,-11.775921,9.700466,-13.115349,5.7857633,-8.899733,-1.0870239,-9.216775,2.4536483,-7.721793,-1.8164973,-3.4343538,-2.2313912,-4.049148,-0.56996554,-2.0112383,-5.386919,-5.123237,-7.8055515,-1.1680623,-0.20640011,1.3844019,-3.0061822,-1.384029,-4.7452655,-0.37657392,0.49436033,0.4450079,-4.162732,-4.8087063,-6.69736,-4.4243474,-0.9846288,blues
-199.462,150.09473,5.649167,26.870144,1.7554408,14.23688,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.0853534,-2.4761884,-1.0762246,-2.8760562,0.7769088,-3.3200555,0.63726294,-0.6175068,-3.40694,-1.500599,-0.055320337,-1.8619184,-4.710597,-3.922637,-6.653788,-2.9067204,-3.231801,-0.27208954,-3.8174036,-2.8221364,-4.210177,-2.7049646,-3.8450146,-2.526683,-4.9386477,-5.9521265,-6.6168156,-6.3983254,-1.5017638,blues
-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.80477,1.2038774,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.92446774,-4.4080763,-11.701833,-5.8597007,-0.7184288,0.95112586,-1.2276795,4.5659065,0.2896269,-1.2837689,-4.488457,-0.40812585,0.27564165,8.477829,3.6416502,-3.0047832,-6.1073136,-6.9527907,-4.0751724,-1.13693,-0.4846318,-4.7880306,-3.2193747,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401844,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.046112,-8.115228,-2.467844,-1.7123966,-4.279546,-4.6385307,-2.3284316,0.9241528,4.3786125,5.194026,5.694819,2.5292377,2.613597,-4.352427,-6.80911,-2.9116185,-1.0631214,1.9084798,1.0155056,-3.1086466,-5.304875,-5.263715,blues
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.59637237,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595716,-9.947577,-6.540925,-10.071382,-10.912118,-6.970003,-3.4485128,-6.498458,-7.1202984,-7.1363893,-5.2854896,-4.5902853,-3.238698,-2.8989832,1.4235084,2.9203234,2.11777,-1.4764495,-0.6344612,2.9592261,2.6075635,1.7993196,-1.9789025,-5.175631,-2.3760102,0.14222984,3.7087803,5.259211,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.4690976,-8.414114,-6.956976,-3.548349,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790193,-4.7007947,-8.638816,-11.0275755,-10.391632,-1.8577002,-1.449254,-3.1238863,-1.183795,-3.6141505,-3.2580407,-0.6348767,0.8947242,4.01671,2.700859,-0.17025478,-2.5200899,-3.4514685,-2.8848891,0.73135763,-1.9445958,-4.8657465,-3.2380967,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739911,5.064209,-5.1730757,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991906,-4.2705674,-0.6270918,-4.287083,-13.3744335,-8.27833,-2.0942795,10.5590105,2.9193025,-1.0299448,-0.74991137,-0.5007922,-1.404135,-1.8816167,-1.810887,2.364886,-4.3034086,-3.8789637,-5.0984454,0.49160284,1.1653894,blues
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180814,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368747,-5.114481,-0.4145369,-1.1848986,-1.9183391,-2.2957964,2.89123,-4.2345333,1.5900459,2.461061,-0.9093402,1.8585109,5.0403576,0.77271444,5.6455097,0.44147396,-0.91098535,-2.213618,-1.8996389,-3.4583857,-0.9660858,1.5506592,3.1903374,4.5528107,1.9053441,-0.68077904,-2.7371292,-0.059521087,blues
-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.2143745,-12.582618,5.8545594,-2.884673,-1.1866812,-1.9771539,1.8001548,-3.0044112,-1.8699358,-0.7962682,-3.0132642,-0.43592528,-2.00181,-0.74663854,-5.001238,-1.8160439,0.80674666,2.5055745,-1.6417369,-3.3359144,-0.13622111,4.48795,8.8497095,9.319613,1.2971636,-1.8052475,-6.474268,-3.8727202,1.8019758,-3.1900313,-5.8477664,-6.718807,-1.4338905,3.2748842,1.2342956,blues
-287.92355,123.97102,5.4561224,33.684544,1.0892011,14.704721,-4.898606,8.653276,0.7827978,6.5667357,-4.87944,-3.1806588,-5.5570035,-6.786621,-2.644233,-2.9824317,-3.3811386,-1.8614974,1.8359205,-4.8965116,-5.5384836,-3.612521,-2.0601182,-6.517657,-6.8794336,-2.781112,1.6434361,-1.8873737,-4.67837,-3.3404355,-2.2557988,-1.9168481,-1.8664526,-1.3519363,-2.9247155,-2.6872435,-1.3020627,-1.4030876,-1.2841538,0.8157186,blues
-207.20874,132.79709,-15.460706,60.99486,0.71024096,12.461279,1.1609278,-1.5278944,-17.901817,8.369234,-2.4538188,-0.5966888,0.36881632,2.6052277,-5.193015,-9.530149,-9.2374,-2.8406756,-1.4114444,-5.9310284,7.7731123,4.093114,4.058162,3.6514394,6.006844,0.41913077,2.0486271,1.4418105,6.510237,9.659197,6.698107,0.19275342,-2.3590875,-1.071619,-0.25927275,4.1333394,0.7824552,0.521982,0.93802667,3.2918725,blues
